,SMILES,Absorption solvent,Emission solvent,Absorption (nm),Emission (nm),DOI
0,OC(=O)C1=CC=C[CH]N1[Ir+3](C1[CH]C(=CC=C1c1ccccn1)c1nc2c(n1c1ccccc1)c1ccccc1c1c2cccc1)C1[CH]C(=CC=C1c1ccccn1)c1nc2c(n1c1ccccc1)c1ccccc1c1c2cccc1,,CH2Cl2,,553.0,https://doi.org/10.3390/molecules27010232
1,c1ccc(cc1)n1c(nc2c1c1ccccc1c1c2cccc1)C1=CC=C(C([CH]1)[Ir+3](N1[CH]C=CC=C1c1ccccn1)C1[CH]C(=CC=C1c1ccccn1)c1nc2c(n1c1ccccc1)c1ccccc1c1c2cccc1)c1ccccn1,,CH2Cl2,,570.0,https://doi.org/10.3390/molecules27010232
2,OC(=O)C1=C[CH]N(C(=C1)c1nccc(c1)C(=O)O)[Ir+3](C1[CH]C(=CC=C1c1ccccn1)c1nc2c(n1c1ccccc1)c1ccccc1c1c2cccc1)C1[CH]C(=CC=C1c1ccccn1)c1nc2c(n1c1ccccc1)c1ccccc1c1c2cccc1,,CH3OH,,595.0,https://doi.org/10.3390/molecules27010232
3,O=S(=O)(c1ccc(cc1)P(c1ccccc1P(c1ccc(cc1)S(=O)(=O)O)c1ccc(cc1)S(=O)(=O)O)c1ccc(cc1)S(=O)(=O)O)O[Ir+3](C1[CH]C(=CC=C1c1ccccn1)c1nc2c(n1c1ccccc1)c1ccccc1c1c2cccc1)C1[CH]C(=CC=C1c1ccccn1)c1nc2c(n1c1ccccc1)c1ccccc1c1c2cccc1,,PBS,,555.0,https://doi.org/10.3390/molecules27010232
4,CCOP(=O)(C1=C[CH]N(C(=C1)c1nccc(c1)P(=O)(OCC)OCC)[Ir+3](C1[CH]C=CC=C1c1ccccn1)C1[CH]C=CC=C1c1ccccn1)OCC,,CH3OH,,667.0,https://doi.org/10.1002/adhm.202100706
5,CCOP(=O)(C1=C[CH]N(C(=C1)c1nccc(c1)P(=O)(OCC)OCC)[Ir+3](C1[CH]C=CC=C1c1nccc2c1cccc2)C1[CH]C=CC=C1c1nccc2c1cccc2)OCC,,CH3OH,,655.0,https://doi.org/10.1002/adhm.202100706
6,CCOP(=O)(C1=C[CH]N(C(=C1)c1nccc(c1)P(=O)(OCC)OCC)[Ir+3](C1[CH]C=CC=C1c1ccc2c(n1)cccc2)C1[CH]C=CC=C1c1ccc2c(n1)cccc2)OCC,,CH3OH,,668.0,https://doi.org/10.1002/adhm.202100706
7,O=CC1=CC=C(C([CH]1)[Ir+3](C1[CH]C(=CC=C1c1ccccn1)C=O)N1[CH]C=C(C=C1c1nccc(c1)N(C)C)N(C)C)c1ccccn1,,DMSO,,560.0,https://doi.org/10.1016/j.saa.2021.120167
8,O=CC1=CC=C(C([CH]1)[Ir+3](N1[CH]C=C(C=C1c1nccc(c1)N)N)C1[CH]C(=CC=C1c1ccccn1)C=O)c1ccccn1,,DMSO,,560.0,https://doi.org/10.1016/j.saa.2021.120167
9,O=CC1=CC=C(C([CH]1)[Ir+3](N1[CH]C=C(C=C1c1nccc(c1)C)C)C1[CH]C(=CC=C1c1ccccn1)C=O)c1ccccn1,,DMSO,,542.0,https://doi.org/10.1016/j.saa.2021.120167
10,COC1=C[CH]N(C(=C1)c1nccc(c1)OC)[Ir+3](C1[CH]C(=CC=C1c1ccccn1)C=O)C1[CH]C(=CC=C1c1ccccn1)C=O,,DMSO,,546.0,https://doi.org/10.1016/j.saa.2021.120167
11,OCC1=C[CH]N(C(=C1)c1nccc(c1)CO)[Ir+3](C1[CH]C(=CC=C1c1ccccn1)C=O)C1[CH]C(=CC=C1c1ccccn1)C=O,,DMSO,,544.0,https://doi.org/10.1016/j.saa.2021.120167
12,O=CC1=CC=C(C([CH]1)[Ir](C1[CH]C(=CC=C1c1ccccn1)C=O)N1[CH]C=C(C=C1c1nccc(c1)N(CC)(CC)CC)N(CC)(CC)CC)c1ccccn1,,DMSO,,598.0,https://doi.org/10.1016/j.saa.2021.120167
13,OC(=O)C1CSC(N1)C1=CC=C(C([CH]1)[Ir+3](N1[CH]C=C(C=C1c1nccc(c1)N(C)C)N(C)C)C1[CH]C(=CC=C1c1ccccn1)C1SCC(N1)C(=O)O)c1ccccn1,,DMSO,,540.0,https://doi.org/10.1016/j.saa.2021.120167
14,OC(=O)C1CCSC(N1)C1=CC=C(C([CH]1)[Ir+3](N1[CH]C=C(C=C1c1nccc(c1)N(C)C)N(C)C)C1[CH]C(=CC=C1c1ccccn1)C1SCCC(N1)C(=O)O)c1ccccn1,,DMSO,,560.0,https://doi.org/10.1016/j.saa.2021.120167
15,Cc1n[nH]c(c1)C1=CC=C[CH]N1[Ir+3](C1[C](C=C(N=C1C(F)(F)F)C(F)(F)F)c1nccc2c1cccc2)C1[C](C=C(N=C1C(F)(F)F)C(F)(F)F)c1nccc2c1cccc2,,CH2Cl2,,583.0,https://doi.org/10.1016/j.dyepig.2021.109733
16,FC(C1=NC(=C[C](C1[Ir+3](N1[CH]C=CC=C1c1[nH]nc(c1)C(F)(F)F)C1[C](C=C(N=C1C(F)(F)F)C(F)(F)F)c1nccc2c1cccc2)c1nccc2c1cccc2)C(F)(F)F)(F)F,,CH2Cl2,,583.0,https://doi.org/10.1016/j.dyepig.2021.109733
17,FC(C1=NC(=C[C](C1[Ir+3](C1[C](C=C(N=C1C(F)(F)F)C(F)(F)F)c1nccc2c1cccc2)N1[CH]C=CC=C1c1[nH]nc(c1)c1ccccc1)c1nccc2c1cccc2)C(F)(F)F)(F)F,,CH2Cl2,,586.0,https://doi.org/10.1016/j.dyepig.2021.109733
18,CCCCCCCCN1[N]C2=C(c3nccc4c3cccc4)C(C=C(C2=N1)c1ccc(cc1)N(c1ccccc1)c1ccccc1)[Ir+3](N1(=c2ccc(cc2=C2C1=CC=C([CH]2)C(C)(C)C)C(C)(C)C)c1ccc(cc1)S(=O)(=O)c1ccc(cc1)c1ccc(nc1)C(=O)O)C1C=C(c2ccc(cc2)N(c2ccccc2)c2ccccc2)C2=NN([N]C2=C1c1nccc2c1cccc2)CCCCCCCC,,CH2Cl2,,714.0,https://doi.org/10.1016/j.synthmet.2021.116917
19,CC1=C(C)C=C(C([CH]1)[Ir+3](N1[CH]C=CC=C1c1ccccn1)C1[CH]C(=C(C=C1c1cnc2c(n1)cc(c(c2)C)C)C)C)c1cnc2c(n1)cc(c(c2)C)C,,CH3CN,,628.0,https://doi.org/10.1021/acs.inorgchem.1c02121
20,CC1=C(C)C=C(C([CH]1)[Ir+3](N1[CH]C=CC=C1c1ccccn1)C1[CH]C(=C(C=C1c1cnc2c(n1)cc(c(c2)F)F)C)C)c1cnc2c(n1)cc(c(c2)F)F,,CH3CN,,655.0,https://doi.org/10.1021/acs.inorgchem.1c02121
21,FC1=CC=C(C([CH]1)[Ir+3](N1[CH]C=CC=C1c1ccccn1)C1[CH]C(=CC=C1c1cnc2c(n1)cccc2)F)c1cnc2c(n1)cccc2,,CH3CN,,590.0,https://doi.org/10.1021/acs.inorgchem.1c02121
22,FC1=CC=C(C([CH]1)[Ir+3](N1[CH]C=CC=C1c1ccccn1)C1[CH]C(=CC=C1c1cnc2c(n1)cc(c(c2)C)C)F)c1cnc2c(n1)cc(c(c2)C)C,,CH3CN,,585.0,https://doi.org/10.1021/acs.inorgchem.1c02121
23,FC1=CC=C(C([CH]1)[Ir+3](N1[CH]C=CC=C1c1ccccn1)C1[CH]C(=CC=C1c1cnc2c(n1)cc(c(c2)F)F)F)c1cnc2c(n1)cc(c(c2)F)F,,CH3CN,,594.0,https://doi.org/10.1021/acs.inorgchem.1c02121
24,FC1=C[C](c2cnc3c(n2)cccc3)C(C(=C1F)F)[Ir+3](N1[CH]C=CC=C1c1ccccn1)C1[C](C=C(C(=C1F)F)F)c1cnc2c(n1)cccc2,,CH3CN,,579.0,https://doi.org/10.1021/acs.inorgchem.1c02121
25,FC1=C[C](c2cnc3c(n2)cc(c(c3)C)C)C(C(=C1F)F)[Ir+3](N1[CH]C=CC=C1c1ccccn1)C1[C](C=C(C(=C1F)F)F)c1cnc2c(n1)cc(c(c2)C)C,,CH3CN,,584.0,https://doi.org/10.1021/acs.inorgchem.1c02121
26,FC1=C[C](c2cnc3c(n2)cc(c(c3)F)F)C(C(=C1F)F)[Ir+3](N1[CH]C=CC=C1c1ccccn1)C1[C](C=C(C(=C1F)F)F)c1cnc2c(n1)cc(c(c2)F)F,,CH3CN,,583.0,https://doi.org/10.1021/acs.inorgchem.1c02121
27,CC1=C[CH]N(C(=C1)c1nccc(c1)C)[Ir+3](C1[CH]C(=C(C=C1c1cc(C)c2c(n1)cccc2)C(F)(F)F)Cl)C1[CH]C(=C(C=C1c1cc(C)c2c(n1)cccc2)C(F)(F)F)Cl,,CH2Cl2,,538.0,https://doi.org/10.1002/adpr.202100115
28,ClC1=C(C=C(C([CH]1)[Ir+3](N1[CH]C=C(C=C1c1nccc(c1)C(C)(C)C)C(C)(C)C)C1[CH]C(=C(C=C1c1cc(C)c2c(n1)cccc2)C(F)(F)F)Cl)c1cc(C)c2c(n1)cccc2)C(F)(F)F,,CH2Cl2,,538.0,https://doi.org/10.1002/adpr.202100115
29,c1ccc(cc1)P(c1ccccc1Oc1ccccc1P([Ir+3](C1[CH]C=CC=C1c1ccccn1)C1[CH]C=CC=C1c1ccccn1)(c1ccccc1)c1ccccc1)c1ccccc1,,CH2Cl2,,525.0,https://doi.org/10.3390/ma14185419
30,C1=CC=C(C([CH]1)[Ir+3](N1(=NC=C[CH]1)c1ccccn1)C1[CH]C=CC=C1c1nnc(n1c1ccccc1)c1ccccc1)c1nnc(n1c1ccccc1)c1ccccc1,,CH3CN,,486.0,https://doi.org/10.1016/j.dyepig.2021.109477
31,CN(C1=C[CH]N(C(=C1)n1cccn1)[Ir+3](C1[CH]C=CC=C1c1nnc(n1c1ccccc1)c1ccccc1)C1[CH]C=CC=C1c1nnc(n1c1ccccc1)c1ccccc1)C,,CH3CN,,489.0,https://doi.org/10.1016/j.dyepig.2021.109477
32,CN1C=CN(C1)CN1C=CN(C1[Ir+3](C1[CH]C=CC=C1c1nnc(n1c1ccccc1)c1ccccc1)C1[CH]C=CC=C1c1nnc(n1c1ccccc1)c1ccccc1)C,,CH3CN,,486.0,https://doi.org/10.1016/j.dyepig.2021.109477
33,FC1=CC(=C(C([CH]1)[Ir+3](C1[CH]C(=CC(=C1c1nccc2c1cccc2)F)F)O/C(=C\C(=O)C(C)(C)C)/C(C)(C)C)c1nccc2c1cccc2)F,,CH2Cl2,,622.0,https://doi.org/10.1002/chem.202102006
34,FC1=C[C](F)C(C(=C1)c1nccc2c1cccc2)[Ir+3](C1[C](F)C=C(C=C1c1nccc2c1cccc2)F)O/C(=C\C(=O)C(C)(C)C)/C(C)(C)C,,CH2Cl2,,616.0,https://doi.org/10.1002/chem.202102006
35,FC1=C(c2ccc(cc2)C(F)(F)F)C(=C(C([CH]1)[Ir+3](C1[CH]C(=C(C(=C1c1nccc2c1cccc2)F)c1ccc(cc1)C(F)(F)F)F)O/C(=C\C(=O)C(C)(C)C)/C(C)(C)C)c1nccc2c1cccc2)F,,CH2Cl2,,632.0,https://doi.org/10.1002/chem.202102006
36,N#Cc1ccc(cc1)C1=C(F)[CH]C(C(=C1F)c1nccc2c1cccc2)[Ir+3](C1[CH]C(=C(C(=C1c1nccc2c1cccc2)F)c1ccc(cc1)C#N)F)O/C(=C\C(=O)C(C)(C)C)/C(C)(C)C,,CH2Cl2,,627.0,https://doi.org/10.1002/chem.202102006
37,O=C(c1ccccc1)c1ccc(cc1)C1=C(F)[CH]C(C(=C1F)c1nccc2c1cccc2)[Ir+3](C1[CH]C(=C(C(=C1c1nccc2c1cccc2)F)c1ccc(cc1)C(=O)c1ccccc1)F)O/C(=C\C(=O)C(C)(C)C)/C(C)(C)C,,CH2Cl2,,622.0,https://doi.org/10.1002/chem.202102006
38,COC(=O)c1ccc(cc1)C1=C(F)[CH]C(C(=C1F)c1nccc2c1cccc2)[Ir+3](C1[CH]C(=C(C(=C1c1nccc2c1cccc2)F)c1ccc(cc1)C(=O)OC)F)O/C(=C\C(=O)C(C)(C)C)/C(C)(C)C,,CH2Cl2,,627.0,https://doi.org/10.1002/chem.202102006
39,N#CC1=CC=C(C([CH]1)[Ir+3](C1[CH]C(=CC=C1c1ncc(c2c1cccc2)C#N)C#N)O/C(=C\C(=O)C)/C)c1ncc(c2c1cccc2)C#N,,THF,,688.0,https://doi.org/10.1016/j.isci.2021.102911
40,N#Cc1cnc(c2c1cccc2)C1=CC=C([CH]C1[Ir+3](C1[CH]C(=CC=C1c1ncc(c2c1cccc2)C#N)C(C)(C)C)O/C(=C\C(=O)C)/C)C(C)(C)C,,THF,,700.0,https://doi.org/10.1016/j.isci.2021.102911
41,N#Cc1cnc(c2c1cccc2)C1=CC(=C[C](C1[Ir+3](C1[C](C)C=C(C=C1c1ncc(c2c1cccc2)C#N)C)O/C(=C\C(=O)C)/C)C)C,,THF,,709.0,https://doi.org/10.1016/j.isci.2021.102911
42,O=C(C(C)(C)C)/C=C(/C(C)(C)C)\O[Ir+3](C1C(=Cc2c3c1c1[CH]C=CN=c1n3c1c2cccc1)c1ccccn1)C1C(=Cc2c3c1c1[CH]C=CN=c1n3c1c2cccc1)c1ccccn1,,CH2Cl2,,500.0,https://doi.org/10.1039/d1qm00708d
43,O=C(C(C)(C)C)/C=C(/C(C)(C)C)\O[Ir+3](C1C(=Cc2c3c1c1[CH]C=CC=c1n3c1c2cccn1)c1ccccn1)C1C(=Cc2c3c1c1[CH]C=CN=c1n3c1c2cccc1)c1ccccn1,,CH2Cl2,,498.0,https://doi.org/10.1039/d1qm00708d
44,O=C(C(C)(C)C)/C=C(/C(C)(C)C)\O[Ir+3](C1C(=Cc2c3c1c1[CH]C=CN=c1n3c1c2cccc1)c1nccc(c1)C(F)(F)F)C1C(=Cc2c3c1c1[CH]C=CN=c1n3c1c2cccc1)c1nccc(c1)C(F)(F)F,,CH2Cl2,,551.0,https://doi.org/10.1039/d1qm00708d
45,O=C(C(C)(C)C)/C=C(/C(C)(C)C)\O[Ir+3](C1C(=Cc2c3c1c1[CH]C=CC=c1n3c1c2cccn1)c1nccc(c1)C(F)(F)F)C1C(=Cc2c3c1c1[CH]C=CN=c1n3c1c2cccc1)c1nccc(c1)C(F)(F)F,,CH2Cl2,,548.0,https://doi.org/10.1039/d1qm00708d
46,FC1=CC(=C(C([CH]1)[Ir+3](n1cccc1/C(=C\1/C=CC=N1)/c1ccccc1)C1[CH]C(=CC(=C1c1ccccn1)F)F)c1ccccn1)F,,CH2Cl2,,679.0,https://doi.org/10.1039/D1DT01557E
47,c1ccc(cc1)/C(=C/1\C=CC=N1)/c1cccn1[Ir+3](C1[CH]C=CC=C1c1ccccn1)C1[CH]C=CC=C1c1ccccn1,,CH2Cl2,,682.0,https://doi.org/10.1039/D1DT01557E
48,c1ccc(cc1)/C(=C/1\C=CC=N1)/c1cccn1[Ir+3](C1[CH]C=CC=C1c1nccc2c1cccc2)C1[CH]C=CC=C1c1nccc2c1cccc2,,CH2Cl2,,683.0,https://doi.org/10.1039/D1DT01557E
49,c1ccc(cc1)/C(=C/1\C=CC=N1)/c1cccn1[Ir+3](C1[CH]C(=CC=C1c1nccc2c1cccc2)N(c1ccccc1)c1ccccc1)C1[CH]C(=CC=C1c1nccc2c1cccc2)N(c1ccccc1)c1ccccc1,,CH2Cl2,,687.0,https://doi.org/10.1039/D1DT01557E
50,CC(=O)/C=C(\O[Ir+3](C1[CH]C(=CC(=C1c1ccccn1)F)F)C1[CH]C(=CC(=C1c1ccccn1)F)F)/C,,CH2Cl2,,493.0,https://doi.org/10.1039/D1DT01557E
51,CC(=O)/C=C(\O[Ir+3](C1[CH]C=CC=C1c1ccccn1)C1[CH]C=CC=C1c1ccccn1)/C,,CH2Cl2,,525.0,https://doi.org/10.1039/D1DT01557E
52,CC(=O)/C=C(\O[Ir+3](C1[CH]C=CC=C1c1nccc2c1cccc2)C1[CH]C=CC=C1c1nccc2c1cccc2)/C,,CH2Cl2,,628.0,https://doi.org/10.1039/D1DT01557E
53,CC(=O)/C=C(\O[Ir+3](C1[CH]C(=CC=C1c1nccc2c1cccc2)N(c1ccccc1)c1ccccc1)C1[CH]C(=CC=C1c1nccc2c1cccc2)N(c1ccccc1)c1ccccc1)/C,,CH2Cl2,,645.0,https://doi.org/10.1039/D1DT01557E
54,c1ccc(cc1)C(c1ccccc1)CC1=CC=C(C([CH]1)[Ir+3](N1[CH]C=CC=C1c1ccccn1)C1[CH]C(=CC=C1c1ccccn1)CC(c1ccccc1)c1ccccc1)c1ccccn1,,CH3CN,,595.0,https://doi.org/10.1039/D1NJ02375F
55,c1ccc(cc1)N1(=NC(=C[CH]1)c1ccccn1)[Ir+3](C1[CH]C(=CC=C1c1ccccn1)CC(c1ccccc1)c1ccccc1)C1[CH]C(=CC=C1c1ccccn1)CC(c1ccccc1)c1ccccc1,,CH3CN,,511.0,https://doi.org/10.1039/D1NJ02375F
56,O=C(C(C)(C)C)/C=C(/C(C)(C)C)\O[Ir+3](C1C(=Cc2c3c1c1[CH]C=CC=c1n3c1c2cccc1)c1ccccn1)C1C(=Cc2c3c1c1[CH]C=CC=c1n3c1c2cccc1)c1ccccn1,,CH2Cl2,,499.0,https://doi.org/10.1039/d1tc01449h
57,O=C(C(C)(C)C)/C=C(/C(C)(C)C)\O[Ir+3](C1C(=Cc2c3c1c1[CH]C=CC=c1n3c1c2cccc1)c1nccc(c1)C(F)(F)F)C1C(=Cc2c3c1c1[CH]C=CC=c1n3c1c2cccc1)c1nccc(c1)C(F)(F)F,,CH2Cl2,,554.0,https://doi.org/10.1039/d1tc01449h
58,,,CH2Cl2,,545.0,https://doi.org/10.1039/d1tc01498f
59,,,CH2Cl2,,581.0,https://doi.org/10.1039/d1tc01498f
60,,,CH2Cl2,,557.0,https://doi.org/10.1039/d1tc01498f
61,CC(=O)/C=C(\O[Ir+3](C1c2ccccc2S[C]1c1nccc2c1cccc2)C1[CH]C(=CC(=C1c1ccccn1)F)F)/C,,CH2Cl2,,703.0,https://doi.org/10.1002/adom.202100117
62,CC(=O)/C=C(\O[Ir+3](C1c2ccccc2S[C]1c1nccc2c1cccc2)C1[CH]C=CC=C1c1ccccn1)/C,,CH2Cl2,,715.0,https://doi.org/10.1002/adom.202100117
63,CC(=O)/C=C(\O[Ir+3](C1c2ccccc2S[C]1c1nccc2c1cccc2)C1[CH]C=CC=C1c1nc2ccccc2nc1c1ccccc1)/C,,CH2Cl2,,707.0,https://doi.org/10.1002/adom.202100117
64,COc1cc2c(cc1OC)ncnc2C1=CC=C[CH]C1[Ir+3](C1[CH]C=CC=C1c1ncnc2c1cc(OC)c(c2)OC)O/C(=C\C(=O)C)/C,,CH2Cl2,,627.0,https://doi.org/10.1039/d1nj01795k
65,COc1cc2c(cc1OC)ncnc2C1=CC=C([CH]C1[Ir+3](C1[CH]C(=CC=C1c1ncnc2c1cc(OC)c(c2)OC)C(C)(C)C)O/C(=C\C(=O)C)/C)C(C)(C)C,,CH2Cl2,,625.0,https://doi.org/10.1039/d1nj01795k
66,FC(c1nnc(n1c1ccccc1)C1=CC=C[CH]C1[Ir+3](C1[CH]C=CC=C1c1nnc(n1c1ccccc1)C(F)(F)F)N1[CH]C=CC=C1c1ccccn1)(F)F,,CH3CN,,521.0,https://doi.org/10.1039/d1dt01320c
67,CC1=C[CH]N(C(=C1)c1nccc(c1)C)[Ir+3](C1[CH]C=CC=C1c1nnc(n1c1ccccc1)C(F)(F)F)C1[CH]C=CC=C1c1nnc(n1c1ccccc1)C(F)(F)F,,CH3CN,,508.0,https://doi.org/10.1039/d1dt01320c
68,FC(c1nnc(n1c1ccccc1)C1=CC=C[CH]C1[Ir+3](N1(=C(N=C[CH]1)c1ccccn1)c1ccccc1)C1[CH]C=CC=C1c1nnc(n1c1ccccc1)C(F)(F)F)(F)F,,CH3CN,,498.0,https://doi.org/10.1039/d1dt01320c
69,O/N=C/c1ccnc(c1)C1=CC(=C[CH]N1[Ir+3](C1[CH]C=CC=C1c1ccccn1)C1[CH]C=CC=C1c1ccccn1)C,,CHCl3,,673.0,https://doi.org/10.1016/j.dyepig.2020.108279
70,N#Cc1ccnc(c1)C1=CC(=C[CH]N1[Ir+3](C1[CH]C=CC=C1c1ccccn1)C1[CH]C=CC=C1c1ccccn1)C,,CHCl3,,688.0,https://doi.org/10.1016/j.dyepig.2020.108279
71,CC(CCn1c(nc2c1cc1ccccc1c2)C1=CC=C[CH]C1[Ir+3](C1[CH]C=CC=C1c1nc2c(n1CCC(C)C)cc1c(c2)cccc1)N1[CH]C=CC=C1c1ccccn1)C,,CH2Cl2,,562.0,https://doi.org/10.1016/j.dyepig.2022.110939
72,CC(CCn1c(nc2c1cc1ccccc1c2)C1=CC=C[CH]C1[Ir+3](C1[CH]C=CC=C1c1nc2c(n1CCC(C)C)cc1c(c2)cccc1)N1[CH]C=C(C=C1c1nccc(c1)C)C)C,,CH2Cl2,,562.0,https://doi.org/10.1016/j.dyepig.2022.110939
73,CC(CCn1c(nc2c1cc1ccccc1c2)C1=CC=C[CH]C1[Ir+3](C1[CH]C=CC=C1c1nc2c(n1CCC(C)C)cc1c(c2)cccc1)N1C=CC=c2c1c1[N]C=CC=c1cc2)C,,CH2Cl2,,563.0,https://doi.org/10.1016/j.dyepig.2022.110939
74,COC1=C[CH]C(C(=C1)c1nccc(c1)C(F)(F)F)[Ir+3](C1[CH]C=C(C=C1c1nccc(c1)C(F)(F)F)OC)O/C(=C\C(=O)C)/C,,CH2Cl2,,634.0,https://doi.org/10.1021/acs.inorgchem.2c03597
75,COC1=C[CH]C(C(=C1)c1nccc(c1)C(F)(F)F)[Ir+3](C1[C](OC)C=CC=C1c1nccc(c1)C(F)(F)F)O/C(=C\C(=O)C)/C,,CH2Cl2,,609.0,https://doi.org/10.1021/acs.inorgchem.2c03597
76,CO[C]1C=CC=C(C1[Ir+3](C1[C](OC)C=CC=C1c1nccc(c1)C(F)(F)F)O/C(=C\C(=O)C)/C)c1nccc(c1)C(F)(F)F,,CH2Cl2,,580.0,https://doi.org/10.1021/acs.inorgchem.2c03597
77,COC1=C[CH]C(C(=C1)c1ccc(cn1)C(F)(F)F)[Ir+3](C1[CH]C=C(C=C1c1ccc(cn1)C(F)(F)F)OC)O/C(=C\C(=O)C)/C,,CH2Cl2,,622.0,https://doi.org/10.1021/acs.inorgchem.2c03597
78,COC1=C[CH]C(C(=C1)c1ccc(cn1)C(F)(F)F)[Ir+3](C1[C](OC)C=CC=C1c1ccc(cn1)C(F)(F)F)O/C(=C\C(=O)C)/C,,CH2Cl2,,598.0,https://doi.org/10.1021/acs.inorgchem.2c03597
79,CO[C]1C=CC=C(C1[Ir+3](C1[C](OC)C=CC=C1c1ccc(cn1)C(F)(F)F)O/C(=C\C(=O)C)/C)c1ccc(cn1)C(F)(F)F,,CH2Cl2,,567.0,https://doi.org/10.1021/acs.inorgchem.2c03597
80,CC(=O)/C=C(\O[Ir+3](C1C=Cc2c3c1c1nc4cc(c5ccc(cc5)N(c5ccccc5)c5ccccc5)c(cc4nc1c1c3c(cc2)C=C[CH]1)c1ccc(cc1)N(c1ccccc1)c1ccccc1)C1C=Cc2c3c1c1nc4cc(c5ccc(cc5)N(c5ccccc5)c5ccccc5)c(cc4nc1c1c3c(cc2)C=C[CH]1)c1ccc(cc1)N(c1ccccc1)c1ccccc1)/C,,CH2Cl2,,774.0,https://doi.org/10.1016/j.cej.2022.138956
81,CCCCCCc1ccc(s1)c1cc2nc3c(nc2cc1c1ccc(s1)CCCCCC)c1[CH]C=Cc2c1c1c3C(C=Cc1cc2)[Ir+3](C1C=Cc2c3c1c1nc4cc(c5ccc(s5)CCCCCC)c(cc4nc1c1c3c(cc2)C=C[CH]1)c1ccc(s1)CCCCCC)O/C(=C\C(=O)C)/C,,CH2Cl2,,788.0,https://doi.org/10.1016/j.cej.2022.138956
82,CC(=O)/C=C(\O[Ir+3](C1C=Cc2c3c1c1nc4cc(c5ccc(s5)N(c5ccccc5)c5ccccc5)c(cc4nc1c1c3c(cc2)C=C[CH]1)c1ccc(s1)N(c1ccccc1)c1ccccc1)C1C=Cc2c3c1c1nc4cc(c5ccc(s5)N(c5ccccc5)c5ccccc5)c(cc4nc1c1c3c(cc2)C=C[CH]1)c1ccc(s1)N(c1ccccc1)c1ccccc1)/C,,CH2Cl2,,798.0,https://doi.org/10.1016/j.cej.2022.138956
83,CC(=O)/C=C(\O[Ir+3](C1C=C(C=C2C1=c1nc3cc4ccccc4cc3nc1=C1[C]2C=C(C=C1)c1ccc(cc1)N(c1ccc(cc1)C(C)(C)C)c1ccc(cc1)C(C)(C)C)c1ccc(cc1)N(c1ccc(cc1)C(C)(C)C)c1ccc(cc1)C(C)(C)C)C1C=C(C=C2C1=c1nc3cc4ccccc4cc3nc1=C1[C]2C=C(C=C1)c1ccc(cc1)N(c1ccc(cc1)C(C)(C)C)c1ccc(cc1)C(C)(C)C)c1ccc(cc1)N(c1ccc(cc1)C(C)(C)C)c1ccc(cc1)C(C)(C)C)/C,,CH2Cl2,,860.0,https://doi.org/10.1016/j.dyepig.2022.110733
84,C/C(=N\c1ccccc1)/C=C(\O[Ir+3](C1[C](Sc2c1cccc2)c1ccc2c(n1)cccc2)C1[C](Sc2c1cccc2)c1ccc2c(n1)cccc2)/C,,THF,,673.0,https://doi.org/10.1021/acsorginorgau.1c00044
85,CC(N(C(=S[Ir+3](C1[C](Sc2c1cccc2)c1ccc2c(n1)cccc2)C1[C](Sc2c1cccc2)c1ccc2c(n1)cccc2)S)C(C)C)C,,THF,,661.0,https://doi.org/10.1021/acsorginorgau.1c00044
86,,,THF,,720.0,https://doi.org/10.1021/acsorginorgau.1c00044
87,C/C(=N\c1ccccc1)/C=C(\O[Ir+3](C1c2ccccc2S[C]1c1nc2ccccc2c2c1cccc2)C1c2ccccc2S[C]1c1nc2ccccc2c2c1cccc2)/C,,THF,,722.0,https://doi.org/10.1021/acsorginorgau.1c00044
88,,,THF,,733.0,https://doi.org/10.1021/acsorginorgau.1c00044
89,,,THF,,713.0,https://doi.org/10.1021/acsorginorgau.1c00044
90,,,THF,,716.0,https://doi.org/10.1021/acsorginorgau.1c00044
91,C1=C[N]c2c(=N1)ccc1=Nc3c(N(c21)[Ir+3](C1[CH]C=CC=C1c1nccc2c1cccc2)C1[CH]C=CC=C1c1nccc2c1cccc2)ccc1c3cccc1,,CH3CN,,776.0,https://doi.org/10.1021/acs.inorgchem.1c03727
92,CC1(C)c2ccccc2C2=C1C=C(c1nccc3c1cccc3)C([CH]2)[Ir+3](N1c2c(=Nc3c1ccc1c3cccc1)ccc1=NC=C[N]c21)C1[CH]C2=C(C=C1c1nccc3c1cccc3)C(c1c2cccc1)(C)C,,CH3CN,,667.0,https://doi.org/10.1021/acs.inorgchem.1c03727
93,CC(CCn1c(nc2c1cccc2)C1=CC=C([CH]C1[Ir+3](C1[CH]C(=CC=C1c1nc2c(n1CCC(C)C)cccc2)F)N1[CH]C=C(C=C1c1nccc(c1)C)C)F)C,,CH2Cl2,,531.0,https://doi.org/10.1016/j.molliq.2021.118446
94,CC(CCn1c(nc2c1cccc2)[C]1SC=CC1[Ir+3](C1C=CS[C]1c1nc2c(n1CCC(C)C)cccc2)N1[CH]C=C(C=C1c1nccc(c1)C)C)C,,CH2Cl2,,572.0,https://doi.org/10.1016/j.molliq.2021.118446
